time,r1,r2,r3,r4,fr1,fr2,fr3,fr4,rotation,frotation,height_vel,fheight_vel,o1,o2,o3,o4
16.399999999999764,-2.875,-37.6875,2.875,37.6875,-14.008128522984276,-9.723745060229437,14.008128522984276,9.723745060229437,-19.3125,-7.868788720723052,0.17919720328209915,0.16043821161458996,0,443.4141011207147,0,323.0494274587801
16.409999999999766,-2.9375,-37.9375,2.9375,37.9375,-13.852830725883846,-10.524489032905098,13.852830725883846,10.524489032905098,-19.0,-7.992600473767353,0.17312667237069707,0.16416891209202072,0,449.81362747318144,0,314.6686566948724
16.419999999999767,-2.9375,-38.0625,2.9375,38.0625,-13.68435358840463,-11.429139554236675,13.68435358840463,11.429139554236675,-18.8125,-8.202285580384746,0.1676184028577648,0.16813220626901731,0,455.8963121845992,0,306.87334625189976
16.42999999999977,-2.8125,-38.4375,2.8125,38.4375,-13.497447033380421,-12.425823461869125,13.497447033380421,12.425823461869125,-18.3125,-8.510737372914715,0.16118100120828732,0.17228597148913855,0,461.4559589896178,0,299.8385719705236
16.43999999999977,-2.5,-38.9375,2.5,38.9375,-13.28506975530816,-13.50010898914447,13.28506975530816,13.50010898914447,-17.6875,-8.927424348956007,0.15544877812210467,0.1765925072978849,0,466.31774211952484,0,293.7156424441662
16.449999999999772,-2.3125,-39.125,2.3125,39.125,-13.039184816917842,-14.635662415483633,13.039184816917842,14.635662415483633,-17.0625,-9.457709760881889,0.1519714576686616,0.18101688776446717,0,470.34963552668535,0,288.62273065266356
16.459999999999773,-1.8125,-39.625,1.8125,39.625,-12.751577380850234,-15.815038778732529,12.751577380850234,15.815038778732529,-16.4375,-10.102296414029826,0.1489608164293002,0.18552524436806053,0,473.47127729924773,0,284.63656352974726
16.469999999999775,-1.125,-40.125,1.125,40.125,-12.414632028910043,-17.020552846944042,12.414632028910043,17.020552846944042,-15.75,-10.856845691918881,0.14645913698648555,0.19008318029727073,0,475.6590597035174,0,281.78667029743974
16.479999999999777,-0.3125,-40.5625,0.3125,40.5625,-12.022018160318929,-18.235160581874187,12.022018160318929,18.235160581874187,-15.375,-11.711821696273473,0.14425314346242324,0.1946544780182438,0,476.9465489056025,0,280.0533065270996
16.489999999999778,0.5,-40.9375,-0.5,40.9375,-11.569244867803976,-19.44328415355975,11.569244867803976,19.44328415355975,-14.6875,-12.65260350571337,0.1423304925405521,0.19920019529828337,0,477.4205531880965,0,279.36912750780346
16.49999999999978,1.375,-41.1875,-1.375,41.1875,-11.05405882754243,-20.631509708099703,11.05405882754243,20.631509708099703,-14.0625,-13.659896015058214,0.14074100463229064,0.20367819790004438,0,477.2126970583537,0,279.6250314990767
